Mouse,Date,Event,Timestamp,Session
SD1-1,2023-10-25_12h56,ActiveLever,40.4,0.0
SD1-1,2023-10-25_12h56,ActiveLever,291.26,0.0
SD1-1,2023-10-25_12h56,ActiveLever,464.81,0.0
SD1-1,2023-10-25_12h56,ActiveLever,1719.26,0.0
SD1-1,2023-10-25_12h56,ActiveLever,1992.26,0.0
SD1-1,2023-10-25_12h56,ActiveLever,2237.21,0.0
SD1-1,2023-10-25_12h56,ActiveLever,2576.47,0.0
SD1-1,2023-10-25_12h56,ActiveLever,2656.45,0.0
SD1-1,2023-10-25_12h56,ActiveLever,3075.01,0.0
SD1-1,2023-10-25_12h56,ActiveLever,3191.11,0.0
SD1-1,2023-10-25_12h56,Lick,472.63,0.0
SD1-1,2023-10-25_12h56,Lick,1723.43,0.0
SD1-1,2023-10-25_12h56,Lick,1997.08,0.0
SD1-1,2023-10-25_12h56,Lick,2241.86,0.0
SD1-1,2023-10-25_12h56,Lick,3081.88,0.0
SD1-1,2023-10-25_12h56,No Response,100.4,0.0
SD1-1,2023-10-25_12h56,No Response,180.4,0.0
SD1-1,2023-10-25_12h56,No Response,230.4,0.0
SD1-1,2023-10-25_12h56,No Response,366.26,0.0
SD1-1,2023-10-25_12h56,No Response,416.26,0.0
SD1-1,2023-10-25_12h56,No Response,524.81,0.0
SD1-1,2023-10-25_12h56,No Response,604.81,0.0
SD1-1,2023-10-25_12h56,No Response,684.81,0.0
SD1-1,2023-10-25_12h56,No Response,749.81,0.0
SD1-1,2023-10-25_12h56,No Response,814.81,0.0
SD1-1,2023-10-25_12h56,No Response,879.81,0.0
SD1-1,2023-10-25_12h56,No Response,929.81,0.0
SD1-1,2023-10-25_12h56,No Response,1009.81,0.0
SD1-1,2023-10-25_12h56,No Response,1089.81,0.0
SD1-1,2023-10-25_12h56,No Response,1169.81,0.0
SD1-1,2023-10-25_12h56,No Response,1219.81,0.0
SD1-1,2023-10-25_12h56,No Response,1284.81,0.0
SD1-1,2023-10-25_12h56,No Response,1364.81,0.0
SD1-1,2023-10-25_12h56,No Response,1414.81,0.0
SD1-1,2023-10-25_12h56,No Response,1479.81,0.0
SD1-1,2023-10-25_12h56,No Response,1529.81,0.0
SD1-1,2023-10-25_12h56,No Response,1594.81,0.0
SD1-1,2023-10-25_12h56,No Response,1659.81,0.0
SD1-1,2023-10-25_12h56,No Response,1809.26,0.0
SD1-1,2023-10-25_12h56,No Response,1859.26,0.0
SD1-1,2023-10-25_12h56,No Response,1924.26,0.0
SD1-1,2023-10-25_12h56,No Response,2067.26,0.0
SD1-1,2023-10-25_12h56,No Response,2117.26,0.0
SD1-1,2023-10-25_12h56,No Response,2197.26,0.0
SD1-1,2023-10-25_12h56,No Response,2312.21,0.0
SD1-1,2023-10-25_12h56,No Response,2377.21,0.0
SD1-1,2023-10-25_12h56,No Response,2457.21,0.0
SD1-1,2023-10-25_12h56,No Response,2537.21,0.0
SD1-1,2023-10-25_12h56,No Response,2731.45,0.0
SD1-1,2023-10-25_12h56,No Response,2811.45,0.0
SD1-1,2023-10-25_12h56,No Response,2861.45,0.0
SD1-1,2023-10-25_12h56,No Response,2926.45,0.0
SD1-1,2023-10-25_12h56,No Response,3006.45,0.0
SD1-1,2023-10-25_12h56,No Response,3150.01,0.0
SD1-1,2023-10-25_12h56,No Response,3251.11,0.0
SD1-1,2023-10-25_12h56,No Response,3331.11,0.0
SD1-1,2023-10-25_12h56,No Response,3411.11,0.0
SD1-1,2023-10-25_12h56,No Response,3461.11,0.0
SD1-1,2023-10-25_12h56,No Response,3511.11,0.0
SD1-1,2023-10-25_12h56,No Response,3591.11,0.0
SD1-1,2023-10-25_12h56,Cue,30.0,0.0
